分類名,関連しているディスカッション内容,確認したファクト内容,ファクトURL,パブリッシャー
日割・最低利用・解約,月途中の契約/解約で日割りになる？最低利用や解除料は…,"UQモバイルは2025/10/1以降の新規契約で、解約が1年以内の場合に契約解除料最大1,100円。",https://www.uqwimax.jp/mobile/description/,UQ mobile
SMS/MMS/付加機能,SMSの文字数課金／キャッチホン・留守電・迷惑電話対策…,UQモバイルの国内SMS送信料は1回3.3円（〜70文字）、以降段階課金。受信無料。,https://www.uqwimax.jp/mobile/plan/option/sms/,UQ mobile
支払い方法,クレジットカード/口座振替の可否と注意点…,UQモバイルは『クレジットカード』と『口座振替』に対応（My UQで変更可）。,https://www.uqwimax.jp/mobile/support/payment/change/,UQ mobile
海外ローミング,海外旅行・出張で現地でも使える？91の国と地域って本当？…,UQは『au海外放題』で24時間定額（国・事業者により料金変動、例：800円/24時間〜）。,https://www.au.com/content/dam/au-com/mobile/service/global/pdf/au_kaigai_hodai_All_202502_28ef114eac462616.pdf,KDDI（au）
eSIM/MNP/手続き,eSIMの開通・再発行の流れ／ワンストップMNPは？…,UQモバイルはeSIMに対応。オンラインで開通手続きが可能。,https://www.uqwimax.jp/mobile/products/sim/esim/,UQ mobile
電波・エリア,地下や屋内のつながり／地方や山間部の電波が心配…,エリア詳細はau公式のエリアマップ（5G/4G LTE）でも確認可能。,https://www.au.com/mobile/area/map/,au（KDDI）
速度・混雑時間帯,昼12時〜13時の速度低下が不安／通勤時間帯の実測・Pingを知りたい…,実測の参考：みんなのネット回線速度『UQ mobile』のユーザー測定データ（直近3カ月の平均掲載）。,https://minsoku.net/speeds/mvno/services/uq-mobile,みんなのネット回線速度
日割・最低利用・解約,月途中の契約/解約で日割りになる？最低利用や解除料は…,UQの新プランページに日割りの但し書きあり（割引額は日割りされる旨の注記）。,https://www.uqwimax.jp/mobile/newplan/,UQ mobile
サポート・店舗,店舗でサポートは受けたいが料金次第…／UQスポットやドコモショップの対応…,"ahamoはショップの有料サポート（3,300円）あり／UQはUQスポット/au Styleで申込や相談に対応。",https://faq.ahamo.com/faq/show/310?category_id=20&site_domain=default,ahamo FAQ / UQ
SMS/MMS/付加機能,SMSの文字数課金／キャッチホン・留守電・迷惑電話対策…,SMSはau系も同一体系：全角1〜70文字3.3円、受信は無料（参考：au FAQ）。,https://www.au.com/support/faq/details/00/0000/000003/pg00000317/,au（KDDI）
料金・容量,料金が一番気になる／30GB帯で足りる？／ahamo大盛りとUQの中容量どっち…,"ahamoの基本料金2,970円は税込表示（税抜2,700円相当）。",https://ahamo.com/plan/index.html,ahamo
通話オプション,5分無料で足りる？長電話も多い…／留守番電話の有無で悩む…,5分以内の国内通話は回数無制限で無料（超過分は22円/30秒課金）。,https://ahamo.com/plan/index.html,ahamo
割引・特典,家族で安くなる条件？／カード払い特典の実利が知りたい…,dカード／dカード GOLD等による『ボーナスパケット』は契約中毎月自動付与。,https://ahamo.com/plan/index.html,ahamo
海外ローミング,海外旅行・出張で現地でも使える？91の国と地域って本当？…,海外利用で30GB超過後の速度制限は月末まで継続（国内でも1Mbps制限）。,https://faq.ahamo.com/faq/show/98?category_id=28&site_domain=default,ahamo
海外ローミング,海外旅行・出張で現地でも使える？91の国と地域って本当？…,海外91の国・地域はアジア/欧州/北米等を幅広くカバー（詳細は公式一覧）。,https://faq.ahamo.com/faq/show/2441?category_id=30&site_domain=default,ahamo FAQ
サポート・店舗,店舗でサポートは受けたいが料金次第…／UQスポットやドコモショップの対応…,"ショップ的な有料サポートは申込と手続きの2メニュー各3,300円/回。",https://faq.ahamo.com/faq/show/311?category_id=20&site_domain=default,ahamo FAQ
初期費用・手数料,契約事務手数料やSIM発行費は？送料は？…,送料は一律0円（配送料は事業者負担）。,https://ahamo.com/plan/index.html,ahamo
SMS/MMS/付加機能,SMSの文字数課金／キャッチホン・留守電・迷惑電話対策…,SMSの詳細料金テーブル（70文字3.3円〜、最大670文字33円）を公開。,https://www.docomo.ne.jp/service/sms/charge/,NTTドコモ
支払い方法,クレジットカード/口座振替の可否と注意点…,支払い名義は回線契約者と同一名義のみ可（別名義は不可）。,https://faq.ahamo.com/faq/show/167?category_id=21&site_domain=default,ahamo FAQ
eSIM/MNP/手続き,eSIMの開通・再発行の流れ／ワンストップMNPは？…,"eSIM再発行は状況によりドコモショップ手数料4,950円の案内あり。",https://ahamo.com/flow/how-to-change-esim/index.html,ahamo
電波・エリア,地下や屋内のつながり／地方や山間部の電波が心配…,エリアページから5G/4Gの提供状況と対象端末・周波数帯を確認可能。,https://ahamo.com/area/,ahamo
速度・混雑時間帯,昼12時〜13時の速度低下が不安／通勤時間帯の実測・Pingを知りたい…,みんそく実測は地点・時間帯で変動（例：戸田市 下り202.85Mbps/2025-10-25 19:07）。,https://minsoku.net/speeds/mobile_major_carrier/services/ahamo,みんなのネット回線速度
日割・最低利用・解約,月途中の契約/解約で日割りになる？最低利用や解除料は…,ドコモ→ahamo変更は日割りにならない（当月は変更前プランor ahamoの月額）。,https://faq.ahamo.com/faq/show/94?category_id=23&site_domain=default,ahamo FAQ
テザリング,上限や追加料金の有無／海外での可否…,海外でもデータ容量の範囲でテザリング利用可（30GB上限に含む）。,https://ahamo.com/services/roaming-data/index.html,ahamo
料金・容量,料金が一番気になる／30GB帯で足りる？／ahamo大盛りとUQの中容量どっち…,"トクトクプラン2は基本4,048円に各割引（家族−550/カード−220/～5GB利用割−1,100）で実質化。",https://www.uqwimax.jp/mobile/newplan/tokutoku2/,UQ mobile
割引・特典,家族で安くなる条件？／カード払い特典の実利が知りたい…,家族セット割は同一請求で複数回線対象（詳細条件は公式ページ参照）。,https://www.uqwimax.jp/mobile/ryoukin/family-setwari/,UQ mobile
割引・特典,家族で安くなる条件？／カード払い特典の実利が知りたい…,au PAYカードお支払い割は対象プランの基本料金から−220円/月。,https://www.uqwimax.jp/mobile/ryoukin/aupay-card-oshiharaiwari/,UQ mobile
通話オプション,5分無料で足りる？長電話も多い…／留守番電話の有無で悩む…,通話放題ライト：+880円/月（10分まで何度でも）。,https://www.uqwimax.jp/mobile/newplan/,UQ mobile
通話オプション,5分無料で足りる？長電話も多い…／留守番電話の有無で悩む…,通話パック60：+660円/月（月間60分相当まで定額）。,https://www.uqwimax.jp/mobile/newplan/,UQ mobile
通話オプション,5分無料で足りる？長電話も多い…／留守番電話の有無で悩む…,"通話放題（24時間かけ放題）：+1,980円/月。",https://www.uqwimax.jp/mobile/newplan/,UQ mobile
データ繰り越し・節約モード,繰り越しや節約モードの有無（1Mbps/300kbps）を確認したい…,コミコミプラン＋は月50GB超過で128kbps、トクトクプラン2は40GB超過で128kbps。,https://www.uqwimax.jp/mobile/description/,UQ mobile
電波・エリア,地下や屋内のつながり／地方や山間部の電波が心配…,auの5G/4G LTEエリアマップで地下鉄・屋内などのエリア状況を確認可能。,https://www.au.com/mobile/area/map/,au（KDDI）
初期費用・手数料,契約事務手数料やSIM発行費は？送料は？…,"事務手数料3,850円は初回請求に合算。解約しても返還なし。",https://www.uqwimax.jp/mobile/description/,UQ mobile
日割・最低利用・解約,月途中の契約/解約で日割りになる？最低利用や解除料は…,UQは割引額は日割り（例：月途中申込時）。基本料の日割り扱いはプラン・手続に依存。,https://www.uqwimax.jp/mobile/newplan/,UQ mobile
SMS/MMS/付加機能,SMSの文字数課金／キャッチホン・留守電・迷惑電話対策…,UQのSMSは送信上限200通/日・保持期間最大72時間（公式仕様）。,https://www.uqwimax.jp/mobile/plan/option/sms/,UQ mobile
支払い方法,クレジットカード/口座振替の可否と注意点…,My UQ mobileから口座振替（オンライン対応金融機関あり）へ変更可能。,https://www.uqwimax.jp/mobile/support/payment/,UQ mobile
海外ローミング,海外旅行・出張で現地でも使える？91の国と地域って本当？…,au海外放題は24時間単位の定額でデータ通信が可能（国・通信事業者により料金設定）。,https://www.au.com/content/dam/au-com/mobile/service/global/pdf/au_kaigai_hodai_All_202502_28ef114eac462616.pdf,KDDI（au）
速度・混雑時間帯,昼12時〜13時の速度低下が不安／通勤時間帯の実測・Pingを知りたい…,みんそくのUQ mobile実測は直近3カ月の平均値や時間帯別の傾向を公開。,https://minsoku.net/speeds/mvno/services/uq-mobile,みんなのネット回線速度
